天津联通hssvm,#genre#
天津卫视,http://nas.hssvm.com:8888/udp/225.1.1.111:5002 $天津联通hssvm
天津文艺,http://nas.hssvm.com:8888/udp/225.1.1.131:5002 $天津联通hssvm
天津影视,http://nas.hssvm.com:8888/udp/225.1.1.149:5002 $天津联通hssvm
天津都市,http://nas.hssvm.com:8888/udp/225.1.1.128:5002 $天津联通hssvm
天视文旅,http://nas.hssvm.com:8888/udp/225.1.2.123:5002 $天津联通hssvm
天津体育,http://nas.hssvm.com:8888/udp/225.1.1.122:5002 $天津联通hssvm
天津科教,http://nas.hssvm.com:8888/udp/225.1.1.129:5002 $天津联通hssvm
蓟州,http://nas.hssvm.com:8888/udp/225.1.1.82:5002 $天津联通hssvm
大港油田企业,http://nas.hssvm.com:8888/udp/225.1.2.14:5002 $天津联通hssvm
天津文艺广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.171:5002 $天津联通hssvm
天津经济广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.172:5002 $天津联通hssvm
天津新闻广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.173:5002 $天津联通hssvm
天津生活广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.174:5002 $天津联通hssvm
天津交通广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.175:5002 $天津联通hssvm
天津相声广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.176:5002 $天津联通hssvm
天津小说广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.177:5002 $天津联通hssvm
天津滨海广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.178:5002 $天津联通hssvm
天津音乐广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.179:5002 $天津联通hssvm
天津农村广播[768*576],http://nas.hssvm.com:8888/udp/225.1.1.180:5002 $天津联通hssvm
