山西电信154,#genre#
黄河电视台,http://1.70.35.154:8083/udp/239.1.1.2:8002 $山西电信154
晋中公共,http://1.70.35.154:8083/udp/239.1.1.121:8121 $山西电信154
晋中综合,http://1.70.35.154:8083/udp/239.1.1.120:8120 $山西电信154
山西经济与科技,http://1.70.35.154:8083/udp/239.1.1.3:8003 $山西电信154
山西社会与法治,http://1.70.35.154:8083/udp/239.1.1.5:8005 $山西电信154
山西卫视,http://1.70.35.154:8083/udp/239.1.1.1:8001 $山西电信154
山西文体生活,http://1.70.35.154:8083/udp/239.1.1.6:8006 $山西电信154
山西影视,http://1.70.35.154:8083/udp/239.1.1.4:8004 $山西电信154
盐湖频道,http://1.70.35.154:8083/udp/239.1.1.125:8125 $山西电信154
运城1台,http://1.70.35.154:8083/udp/239.1.1.123:8123 $山西电信154
运城2台,http://1.70.35.154:8083/udp/239.1.1.124:8124 $山西电信154
