河北电信petzhu,#genre#
河北卫视,http://mail.petzhu.top:7000/rtp/239.254.200.174:6000 $河北电信petzhu
河北经济生活,http://mail.petzhu.top:7000/rtp/239.254.200.18:6000 $河北电信petzhu
河北都市,http://mail.petzhu.top:7000/rtp/239.254.200.19:6000 $河北电信petzhu
河北影视剧,http://mail.petzhu.top:7000/rtp/239.254.200.20:6000 $河北电信petzhu
河北少儿科教,http://mail.petzhu.top:7000/rtp/239.254.200.21:6000 $河北电信petzhu
河北公共,http://mail.petzhu.top:7000/rtp/239.254.200.22:6000 $河北电信petzhu
河北农民,http://mail.petzhu.top:7000/rtp/239.254.200.23:6000 $河北电信petzhu
睛彩河北,http://mail.petzhu.top:7000/rtp/239.254.200.27:6000 $河北电信petzhu
石家庄新闻综合,http://mail.petzhu.top:7000/rtp/239.254.200.157:6000 $河北电信petzhu
石家庄娱乐,http://mail.petzhu.top:7000/rtp/239.254.200.29:6000 $河北电信petzhu
石家庄生活,http://mail.petzhu.top:7000/rtp/239.254.200.30:6000 $河北电信petzhu
石家庄都市,http://mail.petzhu.top:7000/rtp/239.254.200.31:6000 $河北电信petzhu
承德新闻综合,http://mail.petzhu.top:7000/rtp/239.254.200.32:6000 $河北电信petzhu
承德公共,http://mail.petzhu.top:7000/rtp/239.254.200.33:6000 $河北电信petzhu
张家口新闻综合,http://mail.petzhu.top:7000/rtp/239.254.200.35:6000 $河北电信petzhu
秦皇岛新闻综合,http://mail.petzhu.top:7000/rtp/239.254.200.39:6000 $河北电信petzhu
秦皇岛公共,http://mail.petzhu.top:7000/rtp/239.254.200.40:6000 $河北电信petzhu
秦皇岛影视,http://mail.petzhu.top:7000/rtp/239.254.200.41:6000 $河北电信petzhu
唐山新闻综合,http://mail.petzhu.top:7000/rtp/239.254.200.166:6000 $河北电信petzhu
唐山生活服务,http://mail.petzhu.top:7000/rtp/239.254.200.167:6000 $河北电信petzhu
唐山影视,http://mail.petzhu.top:7000/rtp/239.254.200.168:6000 $河北电信petzhu
唐山公共,http://mail.petzhu.top:7000/rtp/239.254.200.169:6000 $河北电信petzhu
廊坊新闻,http://mail.petzhu.top:7000/rtp/239.254.200.183:6000 $河北电信petzhu
廊坊公共,http://mail.petzhu.top:7000/rtp/239.254.200.184:6000 $河北电信petzhu
保定新闻综合,http://mail.petzhu.top:7000/rtp/239.254.200.144:6000 $河北电信petzhu
衡水新闻综合,http://mail.petzhu.top:7000/rtp/239.254.200.147:6000 $河北电信petzhu
衡水公共,http://mail.petzhu.top:7000/rtp/239.254.200.149:6000 $河北电信petzhu
邢台综合,http://mail.petzhu.top:7000/rtp/239.254.200.150:6000 $河北电信petzhu
邢台城市生活,http://mail.petzhu.top:7000/rtp/239.254.200.152:6000 $河北电信petzhu
邯郸新闻综合,http://mail.petzhu.top:7000/rtp/239.254.200.153:6000 $河北电信petzhu
邯郸公共,http://mail.petzhu.top:7000/rtp/239.254.200.154:6000 $河北电信petzhu
邯郸科技教育,http://mail.petzhu.top:7000/rtp/239.254.200.155:6000 $河北电信petzhu
元氏电视,http://mail.petzhu.top:7000/rtp/239.254.200.191:5169 $河北电信petzhu
高邑电视,http://mail.petzhu.top:7000/rtp/239.254.201.24:5170 $河北电信petzhu
井陉矿区电视,http://mail.petzhu.top:7000/rtp/239.254.201.14:5175 $河北电信petzhu
深泽电视,http://mail.petzhu.top:7000/rtp/239.254.201.108:5180 $河北电信petzhu
赵县电视,http://mail.petzhu.top:7000/rtp/239.254.201.111:5183 $河北电信petzhu
晋州电视,http://mail.petzhu.top:7000/rtp/239.254.201.127:5184 $河北电信petzhu
井陉电视,http://mail.petzhu.top:7000/rtp/239.254.201.215:6167 $河北电信petzhu
平泉电视,http://mail.petzhu.top:7000/rtp/239.254.200.177:5286 $河北电信petzhu
兴隆电视,http://mail.petzhu.top:7000/rtp/239.254.201.95:5295 $河北电信petzhu
隆化电视,http://mail.petzhu.top:7000/rtp/239.254.201.142:5296 $河北电信petzhu
崇礼电视,http://mail.petzhu.top:7000/rtp/239.254.201.117:5267 $河北电信petzhu
邱县电视,http://mail.petzhu.top:7000/rtp/239.254.201.129:6209 $河北电信petzhu
康保电视,http://mail.petzhu.top:7000/rtp/239.254.201.135:5270 $河北电信petzhu
