河南电信250,#genre#
安阳科教,http://1.196.152.250:2000/rtp/239.16.20.193:11930 $河南电信250
安阳新闻综合,http://1.196.152.250:2000/rtp/239.16.20.144:11440 $河南电信250
宝丰TV1,http://1.196.152.250:2000/rtp/239.16.20.209:12090 $河南电信250
宝丰TV1,http://1.196.152.250:2000/rtp/239.16.20.63:10630 $河南电信250
大剧院,http://1.196.152.250:2000/rtp/239.16.20.217:12170 $河南电信250
大美河南,http://1.196.152.250:2000/rtp/239.16.20.17:10170 $河南电信250
大美河南,http://1.196.152.250:2000/rtp/239.16.20.243:12430 $河南电信250
大象新闻,http://1.196.152.250:2000/rtp/239.16.10.192:2000 $河南电信250
大象新闻,http://1.196.152.250:2000/rtp/239.16.20.216:12160 $河南电信250
邓州综合,http://1.196.152.250:2000/rtp/239.16.20.20:10200 $河南电信250
封丘1新闻综合,http://1.196.152.250:2000/rtp/239.16.20.19:10190 $河南电信250
巩义综合,http://1.196.152.250:2000/rtp/239.16.10.33:2000 $河南电信250
巩义综合,http://1.196.152.250:2000/rtp/239.16.20.43:10430 $河南电信250
国学,http://1.196.152.250:2000/rtp/239.16.10.217:2000 $河南电信250
国学,http://1.196.152.250:2000/rtp/239.16.20.232:12320 $河南电信250
国学,http://1.196.152.250:2000/rtp/239.16.20.242:12420 $河南电信250
河南4K试验,http://1.196.152.250:2000/rtp/239.16.10.210:2000 $河南电信250
河南4K试验,http://1.196.152.250:2000/rtp/239.16.20.199:11990 $河南电信250
河南IPTV导视,http://1.196.152.250:2000/rtp/239.16.10.218:2000 $河南电信250
河南电视剧,http://1.196.152.250:2000/rtp/239.16.10.123:2000 $河南电信250
河南电视剧,http://1.196.152.250:2000/rtp/239.16.20.167:11670 $河南电信250
河南调解剧场,http://1.196.152.250:2000/rtp/239.16.10.183:2000 $河南电信250
河南调解剧场,http://1.196.152.250:2000/rtp/239.16.20.197:11970 $河南电信250
河南都市,http://1.196.152.250:2000/rtp/239.16.10.120:2000 $河南电信250
河南都市,http://1.196.152.250:2000/rtp/239.16.20.164:11640 $河南电信250
河南法治,http://1.196.152.250:2000/rtp/239.16.10.122:2000 $河南电信250
河南法治,http://1.196.152.250:2000/rtp/239.16.20.166:11660 $河南电信250
河南公共,http://1.196.152.250:2000/rtp/239.16.10.126:2000 $河南电信250
河南公共,http://1.196.152.250:2000/rtp/239.16.20.170:11700 $河南电信250
河南功夫,http://1.196.152.250:2000/rtp/239.16.10.150:2000 $河南电信250
河南国际,http://1.196.152.250:2000/rtp/239.16.10.182:2000 $河南电信250
河南国际,http://1.196.152.250:2000/rtp/239.16.20.196:11960 $河南电信250
河南欢腾购物,http://1.196.152.250:2000/rtp/239.16.10.125:2000 $河南电信250
河南欢腾购物,http://1.196.152.250:2000/rtp/239.16.10.216:2000 $河南电信250
河南欢腾购物,http://1.196.152.250:2000/rtp/239.16.20.169:11690 $河南电信250
河南欢腾购物,http://1.196.152.250:2000/rtp/239.16.20.231:12310 $河南电信250
河南欢腾购物,http://1.196.152.250:2000/rtp/239.16.20.233:12330 $河南电信250
河南睛彩中原,http://1.196.152.250:2000/rtp/239.16.10.78:2000 $河南电信250
河南睛彩中原,http://1.196.152.250:2000/rtp/239.16.20.122:11220 $河南电信250
河南梨园,http://1.196.152.250:2000/rtp/239.16.20.171:11710 $河南电信250
河南民生,http://1.196.152.250:2000/rtp/239.16.10.121:2000 $河南电信250
河南民生,http://1.196.152.250:2000/rtp/239.16.20.165:11650 $河南电信250
河南卫视,http://1.196.152.250:2000/rtp/239.16.10.119:2000 $河南电信250
河南卫视,http://1.196.152.250:2000/rtp/239.16.20.21:10210 $河南电信250
河南文博,http://1.196.152.250:2000/rtp/239.16.10.149:2000 $河南电信250
河南文物宝库,http://1.196.152.250:2000/rtp/239.16.20.172:11720 $河南电信250
河南武术世界,http://1.196.152.250:2000/rtp/239.16.20.173:11730 $河南电信250
河南戏曲,http://1.196.152.250:2000/rtp/239.16.10.148:2000 $河南电信250
河南乡村,http://1.196.152.250:2000/rtp/239.16.10.181:2000 $河南电信250
河南乡村,http://1.196.152.250:2000/rtp/239.16.20.195:11950 $河南电信250
河南新闻,http://1.196.152.250:2000/rtp/239.16.10.124:2000 $河南电信250
河南新闻,http://1.196.152.250:2000/rtp/239.16.20.168:11680 $河南电信250
河南移动电视,http://1.196.152.250:2000/rtp/239.16.10.79:2000 $河南电信250
河南移动电视,http://1.196.152.250:2000/rtp/239.16.20.204:12040 $河南电信250
河南移动戏曲,http://1.196.152.250:2000/rtp/239.16.10.76:2000 $河南电信250
河南移动戏曲,http://1.196.152.250:2000/rtp/239.16.20.120:11200 $河南电信250
获嘉综合,http://1.196.152.250:2000/rtp/239.16.20.25:10250 $河南电信250
郏县综合,http://1.196.152.250:2000/rtp/239.16.20.235:12350 $河南电信250
