内蒙联通164,#genre#
蒙古卫视,http://1.25.12.164:9000/udp/239.125.1.24:5000 $内蒙联通164
蒙古卫视,http://1.25.12.164:9000/udp/239.125.1.59:5000 $内蒙联通164
蒙古经济,http://1.25.12.164:9000/udp/239.125.1.74:4120 $内蒙联通164
蒙古蒙语,http://1.25.12.164:9000/udp/239.125.1.66:5000 $内蒙联通164
蒙古蒙语文化,http://1.25.12.164:9000/udp/239.125.1.71:4120 $内蒙联通164
蒙古农牧,http://1.25.12.164:9000/udp/239.125.1.73:4120 $内蒙联通164
蒙古少儿,http://1.25.12.164:9000/udp/239.125.1.69:4120 $内蒙联通164
蒙古文体,http://1.25.12.164:9000/udp/239.125.1.72:4120 $内蒙联通164
蒙古新闻,http://1.25.12.164:9000/udp/239.125.1.70:4120 $内蒙联通164
鄂尔多斯经济,http://1.25.12.164:9000/udp/239.125.2.164:4153 $内蒙联通164
鄂尔多斯蒙古语综合,http://1.25.12.164:9000/udp/239.125.2.162:4151 $内蒙联通164
鄂尔多斯新闻,http://1.25.12.164:9000/udp/239.125.2.165:4154 $内蒙联通164
