陕西电信ssrs2004,#genre#
141号,http://ssrs2004.win:8888/rtp/239.112.205.141:5140 $陕西电信ssrs2004
177号,http://ssrs2004.win:8888/rtp/239.112.205.177:5140 $陕西电信ssrs2004
19号,http://ssrs2004.win:8888/rtp/239.111.205.19:5140 $陕西电信ssrs2004
216号,http://ssrs2004.win:8888/rtp/239.112.205.216:5140 $陕西电信ssrs2004
245号,http://ssrs2004.win:8888/rtp/239.111.205.245:5140 $陕西电信ssrs2004
249号,http://ssrs2004.win:8888/rtp/239.111.205.249:5140 $陕西电信ssrs2004
90号,http://ssrs2004.win:8888/rtp/239.111.205.90:5140 $陕西电信ssrs2004
FXTV,http://ssrs2004.win:8888/rtp/239.111.205.244:5140 $陕西电信ssrs2004
SXBC都市青春,http://ssrs2004.win:8888/rtp/239.111.205.42:5140 $陕西电信ssrs2004
SXBC公共,http://ssrs2004.win:8888/rtp/239.111.205.100:5140 $陕西电信ssrs2004
SXBC乐家购物,http://ssrs2004.win:8888/rtp/239.111.205.101:5140 $陕西电信ssrs2004
SXBC生活,http://ssrs2004.win:8888/rtp/239.111.205.98:5140 $陕西电信ssrs2004
SXBC西部电影,http://ssrs2004.win:8888/rtp/239.111.205.102:5140 $陕西电信ssrs2004
SXBC影视,http://ssrs2004.win:8888/rtp/239.111.205.99:5140 $陕西电信ssrs2004
宝鸡公共,http://ssrs2004.win:8888/rtp/239.112.205.144:5140 $陕西电信ssrs2004
宝鸡公共,http://ssrs2004.win:8888/rtp/239.112.205.148:5140 $陕西电信ssrs2004
宝鸡综合,http://ssrs2004.win:8888/rtp/239.112.205.143:5140 $陕西电信ssrs2004
宝鸡综合,http://ssrs2004.win:8888/rtp/239.112.205.147:5140 $陕西电信ssrs2004
城固,http://ssrs2004.win:8888/rtp/239.111.205.79:5140 $陕西电信ssrs2004
扶风,http://ssrs2004.win:8888/rtp/239.111.205.80:5140 $陕西电信ssrs2004
佛坪综合,http://ssrs2004.win:8888/rtp/239.112.205.229:5140 $陕西电信ssrs2004
合阳,http://ssrs2004.win:8888/rtp/239.112.205.190:5140 $陕西电信ssrs2004
岚皋电视台,http://ssrs2004.win:8888/rtp/239.111.205.248:5140 $陕西电信ssrs2004
眉县新闻综合,http://ssrs2004.win:8888/rtp/239.111.205.81:5140 $陕西电信ssrs2004
宁强综合,http://ssrs2004.win:8888/rtp/239.111.205.18:5140 $陕西电信ssrs2004
千阳,http://ssrs2004.win:8888/rtp/239.111.205.250:5140 $陕西电信ssrs2004
曲艺大观,http://ssrs2004.win:8888/rtp/239.111.205.31:5140 $陕西电信ssrs2004
陕西卫视,http://ssrs2004.win:8888/rtp/239.111.205.35:5140 $陕西电信ssrs2004
商洛综合,http://ssrs2004.win:8888/rtp/239.112.205.189:5140 $陕西电信ssrs2004
太白电视台,http://ssrs2004.win:8888/rtp/239.111.205.251:5140 $陕西电信ssrs2004
体育休闲,http://ssrs2004.win:8888/rtp/239.111.205.36:5140 $陕西电信ssrs2004
西乡融媒,http://ssrs2004.win:8888/rtp/239.111.205.17:5140 $陕西电信ssrs2004
新闻资讯,http://ssrs2004.win:8888/rtp/239.111.205.28:5140 $陕西电信ssrs2004
悦美生活,http://ssrs2004.win:8888/rtp/239.111.205.30:5140 $陕西电信ssrs2004
镇巴电视台,http://ssrs2004.win:8888/rtp/239.112.205.231:5140 $陕西电信ssrs2004
