北京电信226,#genre#
金鹰纪实,http://1.203.76.226:7788/udp/225.1.8.31:8156
纪实人文,http://1.203.76.226:7788/udp/225.1.8.53:8060
纪实科教,http://1.203.76.226:7788/udp/225.1.8.105:8002
快乐垂钓,http://1.203.76.226:7788/udp/225.1.8.71:8002
茶频道,http://1.203.76.226:7788/udp/225.1.8.72:8002
华数测试4K,http://1.203.76.226:7788/udp/225.1.8.80:2000

北京联通15,#genre#
茶频道,http://111.192.176.15:8012/rtp/239.3.1.165:8001
华数测试4K,http://111.192.176.15:8012/rtp/239.3.1.236:2000
纪实科教,http://111.192.176.15:8012/rtp/239.3.1.115:8000
纪实人文,http://111.192.176.15:8012/rtp/239.3.1.212:8060
金鹰纪实,http://111.192.176.15:8012/rtp/239.3.1.58:8156
睛彩广场舞,http://111.192.176.15:8012/rtp/239.3.1.128:8001
睛彩竞技,http://111.192.176.15:8012/rtp/239.3.1.125:8001
睛彩篮球,http://111.192.176.15:8012/rtp/239.3.1.126:8001
睛彩青少,http://111.192.176.15:8012/rtp/239.3.1.127:8001
快乐垂钓,http://111.192.176.15:8012/rtp/239.3.1.164:8001

北京联通141,#genre#
茶频道,http://111.193.234.141:8888/rtp/239.3.1.165:8001
华数测试4K,http://111.193.234.141:8888/rtp/239.3.1.236:2000
纪实科教,http://111.193.234.141:8888/rtp/239.3.1.115:8000
纪实人文,http://111.193.234.141:8888/rtp/239.3.1.212:8060
金鹰纪实,http://111.193.234.141:8888/rtp/239.3.1.58:8156
睛彩广场舞,http://111.193.234.141:8888/rtp/239.3.1.128:8001
睛彩竞技,http://111.193.234.141:8888/rtp/239.3.1.125:8001
睛彩篮球,http://111.193.234.141:8888/rtp/239.3.1.126:8001
睛彩羽毛球,http://111.193.234.141:8888/rtp/239.3.1.127:8001
快乐垂钓,http://111.193.234.141:8888/rtp/239.3.1.164:8001

北京联通255,#genre#
茶频道,http://123.120.109.255:4022/rtp/239.3.1.165:8001
华数测试4K[,http://123.120.109.255:4022/rtp/239.3.1.236:2000
纪实科教,http://123.120.109.255:4022/rtp/239.3.1.115:8000
纪实人文,http://123.120.109.255:4022/rtp/239.3.1.212:8060
金鹰纪实,http://123.120.109.255:4022/rtp/239.3.1.58:8156
睛彩广场舞,http://123.120.109.255:4022/rtp/239.3.1.128:8001
睛彩竞技,http://123.120.109.255:4022/rtp/239.3.1.125:8001
睛彩篮球,http://123.120.109.255:4022/rtp/239.3.1.126:8001
睛彩羽毛球,http://123.120.109.255:4022/rtp/239.3.1.127:8001
快乐垂钓,http://123.120.109.255:4022/rtp/239.3.1.164:8001

北京联通sweetown,#genre#
茶频道,http://sweetown.fun:4000/rtp/239.3.1.165:8001
华数测试4K,http://sweetown.fun:4000/rtp/239.3.1.236:2000
纪实科教,http://sweetown.fun:4000/rtp/239.3.1.115:8000
纪实人文,http://sweetown.fun:4000/rtp/239.3.1.212:8060
金鹰纪实,http://sweetown.fun:4000/rtp/239.3.1.58:8156
睛彩广场舞,http://sweetown.fun:4000/rtp/239.3.1.128:8001
睛彩竞技,http://sweetown.fun:4000/rtp/239.3.1.125:8001
睛彩篮球,http://sweetown.fun:4000/rtp/239.3.1.126:8001
睛彩羽毛球,http://sweetown.fun:4000/rtp/239.3.1.127:8001
快乐垂钓,http://sweetown.fun:4000/rtp/239.3.1.164:8001

北京联通zzmd,#genre#
茶频道,http://cn.zzmd.fun:8888/rtp/239.3.1.165:8001
华数测试4K,http://cn.zzmd.fun:8888/rtp/239.3.1.236:2000
纪实科教,http://cn.zzmd.fun:8888/rtp/239.3.1.115:8000
纪实人文,http://cn.zzmd.fun:8888/rtp/239.3.1.212:8060
金鹰纪实,http://cn.zzmd.fun:8888/rtp/239.3.1.58:8156
睛彩广场舞,http://cn.zzmd.fun:8888/rtp/239.3.1.128:8001
睛彩竞技,http://cn.zzmd.fun:8888/rtp/239.3.1.125:8001
睛彩篮球,http://cn.zzmd.fun:8888/rtp/239.3.1.126:8001
睛彩羽毛球,http://cn.zzmd.fun:8888/rtp/239.3.1.127:8001
快乐垂钓,http://cn.zzmd.fun:8888/rtp/239.3.1.164:8001

甘肃电信38,#genre#
IPTV体育,http://42.94.210.38:9000/udp/239.255.30.115:8231
东方财经,http://42.94.210.38:9000/udp/239.255.29.43:8231
东方购物,http://42.94.210.38:9000/udp/239.255.29.42:8231
动漫秀场,http://42.94.210.38:9000/udp/239.255.29.16:8231
都市剧场,http://42.94.210.38:9000/udp/239.255.29.41:8231
法治天地,http://42.94.210.38:9000/udp/239.255.29.24:8231
红色谍战剧场,http://42.94.210.38:9000/udp/239.255.30.166:8231
茶频道,http://42.94.210.38:9000/udp/239.255.29.44:8231
华数测试4K,http://42.94.210.38:9000/udp/239.255.30.76:8231
欢笑剧场,http://42.94.210.38:9000/udp/239.255.29.19:8231
欢笑剧场4K,http://42.94.210.38:9000/udp/239.255.29.7:8231
纪实人文,http://42.94.210.38:9000/udp/239.255.30.176:8231
金色学堂,http://42.94.210.38:9000/udp/239.255.29.23:8231
金鹰纪实,http://42.94.210.38:9000/udp/239.255.29.39:8231
快乐垂钓,http://42.94.210.38:9000/udp/239.255.29.26:8231
乐游,http://42.94.210.38:9000/udp/239.255.29.17:8231
魅力足球,http://42.94.210.38:9000/udp/239.255.30.147:8231
生活时尚,http://42.94.210.38:9000/udp/239.255.29.18:8231
体育,http://42.94.210.38:9000/udp/239.255.29.31:8231
游戏风云,http://42.94.210.38:9000/udp/239.255.29.20:8231
羽毛球,http://42.94.210.38:9000/udp/239.255.29.31:8231

广东电信jianghua,#genre#
9屏,http://gs.jianghua.fun:8888/udp/239.77.1.234:5146
CHC影迷电影,http://gs.jianghua.fun:8888/udp/239.77.0.27:5146
IPTV体育,http://gs.jianghua.fun:8888/udp/239.77.0.176:5146
IPTV体育,http://gs.jianghua.fun:8888/udp/239.77.1.116:5146
茶频道,http://gs.jianghua.fun:8888/udp/239.77.0.15:5146
纪实人文,http://gs.jianghua.fun:8888/udp/239.77.0.147:5146
纪实人文,http://gs.jianghua.fun:8888/udp/239.77.1.216:5146
金鹰纪实,http://gs.jianghua.fun:8888/udp/239.77.1.217:5146
快乐垂钓,http://gs.jianghua.fun:8888/udp/239.77.0.145:5146
求索记录,http://gs.jianghua.fun:8888/udp/239.77.0.21:5146
天元围棋,http://gs.jianghua.fun:8888/udp/239.253.43.98:5146
中国交通,http://gs.jianghua.fun:8888/udp/239.77.1.249:5146

河北电信petzhu,#genre#
9屏,http://mail.petzhu.top:7000/rtp/239.254.200.248:6000
茶频道,http://mail.petzhu.top:7000/rtp/239.254.200.228:6258
东方财经,http://mail.petzhu.top:7000/rtp/239.254.201.181:7214
动漫秀场,http://mail.petzhu.top:7000/rtp/239.254.201.165:6358
都市剧场,http://mail.petzhu.top:7000/rtp/239.254.201.167:6360
法治天地,http://mail.petzhu.top:7000/rtp/239.254.201.183:7226
欢笑剧场4k,http://mail.petzhu.top:7000/rtp/239.254.201.164:6355
纪实科教,http://mail.petzhu.top:7000/rtp/239.254.200.188:6311
纪实人文,http://mail.petzhu.top:7000/rtp/239.254.200.58:8060
金色学堂,http://mail.petzhu.top:7000/rtp/239.254.201.182:7227
金鹰纪实,http://mail.petzhu.top:7000/rtp/239.254.200.189:6293
快乐垂钓,http://mail.petzhu.top:7000/rtp/239.254.200.229:6257
梨园,http://mail.petzhu.top:7000/rtp/239.254.201.231:7228
求索纪录,http://mail.petzhu.top:7000/rtp/239.254.201.176:7221
全纪实,http://mail.petzhu.top:7000/rtp/239.254.201.200:6356
生活时尚,http://mail.petzhu.top:7000/rtp/239.254.201.166:6359
天元围棋,http://mail.petzhu.top:7000/rtp/239.254.201.156:6270
文物宝库,http://mail.petzhu.top:7000/rtp/239.254.201.227:7230
武术世界,http://mail.petzhu.top:7000/rtp/239.254.201.224:7229
游戏风云,http://mail.petzhu.top:7000/rtp/239.254.201.163:6354
羽毛球专区,http://mail.petzhu.top:7000/rtp/239.254.201.214:7264
中华美食,http://mail.petzhu.top:7000/rtp/239.254.201.189:7171

河南电信250,#genre#
东方财经,http://1.196.152.250:2000/rtp/239.16.10.235:2000
东方财经,http://1.196.152.250:2000/rtp/239.16.20.64:10640
动漫秀场,http://1.196.152.250:2000/rtp/239.16.10.234:2000
动漫秀场,http://1.196.152.250:2000/rtp/239.16.20.40:10400
都市剧场,http://1.196.152.250:2000/rtp/239.16.10.232:2000
都市剧场,http://1.196.152.250:2000/rtp/239.16.20.38:10380
法治天地,http://1.196.152.250:2000/rtp/239.16.20.156:11560
茶频道,http://1.196.152.250:2000/rtp/239.16.20.68:10680
欢笑剧场,http://1.196.152.250:2000/rtp/239.16.10.233:2000
欢笑剧场,http://1.196.152.250:2000/rtp/239.16.20.39:10390
极速汽车,http://1.196.152.250:2000/rtp/239.16.20.113:11130
纪实人文,http://1.196.152.250:2000/rtp/239.16.10.190:2000
金色学堂,http://1.196.152.250:2000/rtp/239.16.20.115:11150
金鹰纪实,http://1.196.152.250:2000/rtp/239.16.20.153:11530
快乐垂钓,http://1.196.152.250:2000/rtp/239.16.20.67:10670
乐游,http://1.196.152.250:2000/rtp/239.16.20.111:11110
生活时尚,http://1.196.152.250:2000/rtp/239.16.20.114:11140
游戏风云,http://1.196.152.250:2000/rtp/239.16.20.112:11120
中华特产,http://1.196.152.250:2000/rtp/239.16.20.132:11320

黑龙江ottrrs,#genre#
纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
纪实人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8

湖北电信myds,#genre#
CHC影迷电影,http://www.hiliu.myds.me:8088/rtp/239.69.1.241:11088
CHC动作电影,http://www.hiliu.myds.me:8088/rtp/239.69.1.242:11094
CHC家庭影院,http://www.hiliu.myds.me:8088/rtp/239.69.1.243:11100
华数测试4K,http://www.hiliu.myds.me:8088/rtp/239.69.1.141:10482
梨园频道,http://www.hiliu.myds.me:8088/rtp/239.69.1.33:9838
武术世界,http://www.hiliu.myds.me:8088/rtp/239.69.1.47:9922
快乐垂钓,http://www.hiliu.myds.me:8088/rtp/239.69.1.142:10488
茶频道,http://www.hiliu.myds.me:8088/rtp/239.69.1.144:10500
