河南电信250,#genre#
河南-128,http://1.196.152.250:2000/rtp/239.16.20.128:11280
河南-191,http://1.196.152.250:2000/rtp/239.16.10.191:2000
河南-193,http://1.196.152.250:2000/rtp/239.16.10.193:2000
河南-215,http://1.196.152.250:2000/rtp/239.16.20.215:12150

江西电信sunnyli,#genre#
江西-188,http://iku.sunnyli.link:4144/udp/239.252.219.188:5140

HLJ-1a0b-4001,#genre#
5715,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225715/index.m3u8
5728,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225728/index.m3u8
5730,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225730/index.m3u8
6053,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226053/index.m3u8
5651[3840x1920],http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225651/index.m3u8
5655[3840x2160],http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225655/index.m3u8
花屏,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225735/index.m3u8

HLJ-1a01-7005,#genre#
6508,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8

hainan-5e00-1e,#genre#
0147,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010147/1.m3u8

hainan-5e01-20,#genre#
180[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000180/index.m3u8?IAS
181[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000181/index.m3u8?IAS
194[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000194/index.m3u8?IAS
196[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000196/index.m3u8?IAS
197[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000197/index.m3u8?IAS
198[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000198/index.m3u8?IAS
199[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000199/index.m3u8?IAS
201[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000201/index.m3u8?IAS
202[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000202/index.m3u8?IAS
203[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000203/index.m3u8?IAS
204[1280x720],http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000204/index.m3u8?IAS
