北京电信226,#genre#
CCTV1,http://1.203.76.226:7788/udp/225.1.8.1:8008
CCTV1,http://1.203.76.226:7788/udp/225.1.8.118:8002
CCTV1,http://1.203.76.226:7788/udp/225.1.8.120:8002
CCTV1,http://1.203.76.226:7788/udp/225.1.8.164:8002
CCTV1,http://1.203.76.226:7788/udp/225.1.8.210:8068
CCTV1,http://1.203.76.226:7788/udp/225.1.8.126:8002
CCTV1,http://1.203.76.226:7788/udp/225.1.8.128:8002
CCTV1,http://1.203.76.226:7788/udp/225.1.8.97:8002
CCTV1,http://1.203.76.226:7788/udp/225.1.8.98:8002
CCTV1,http://1.203.76.226:7788/udp/225.1.8.99:8002
CCTV1,http://1.203.76.226:7788/udp/225.1.8.81:8176
CCTV2,http://1.203.76.226:7788/udp/225.1.8.2:8084
CCTV3,http://1.203.76.226:7788/udp/225.1.8.88:8000
CCTV4,http://1.203.76.226:7788/udp/225.1.8.4:8092
CCTV5,http://1.203.76.226:7788/udp/225.1.8.89:8000
CCTV5+,http://1.203.76.226:7788/udp/225.1.8.20:8004
CCTV6,http://1.203.76.226:7788/udp/225.1.8.84:8000
CCTV7,http://1.203.76.226:7788/udp/225.1.8.7:8104
CCTV8,http://1.203.76.226:7788/udp/225.1.8.85:8000
CCTV9,http://1.203.76.226:7788/udp/225.1.8.9:8112
CCTV10,http://1.203.76.226:7788/udp/225.1.8.10:8116
CCTV11,http://1.203.76.226:7788/udp/225.1.8.73:8120
CCTV12,http://1.203.76.226:7788/udp/225.1.8.12:8124
CCTV14,http://1.203.76.226:7788/udp/225.1.8.14:8132
CCTV15,http://1.203.76.226:7788/udp/225.1.8.74:8136
CCTV17,http://1.203.76.226:7788/udp/225.1.8.17:8144

北京联通15,#genre#
CCTV1,http://111.192.176.15:8012/rtp/239.3.1.129:8008
CCTV2,http://111.192.176.15:8012/rtp/239.3.1.60:8084
CCTV3,http://111.192.176.15:8012/rtp/239.3.1.172:8001
CCTV4,http://111.192.176.15:8012/rtp/239.3.1.105:8092
CCTV5,http://111.192.176.15:8012/rtp/239.3.1.173:8001
CCTV5+,http://111.192.176.15:8012/rtp/239.3.1.130:8004
CCTV6,http://111.192.176.15:8012/rtp/239.3.1.174:8001
CCTV7,http://111.192.176.15:8012/rtp/239.3.1.61:8104
CCTV8,http://111.192.176.15:8012/rtp/239.3.1.175:8001
CCTV9,http://111.192.176.15:8012/rtp/239.3.1.62:8112
CCTV10,http://111.192.176.15:8012/rtp/239.3.1.63:8116
CCTV11,http://111.192.176.15:8012/rtp/239.3.1.152:8120
CCTV12,http://111.192.176.15:8012/rtp/239.3.1.64:8124
CCTV13,http://111.192.176.15:8012/rtp/239.3.1.124:8128
CCTV14,http://111.192.176.15:8012/rtp/239.3.1.65:8132
CCTV15,http://111.192.176.15:8012/rtp/239.3.1.153:8136
CCTV16,http://111.192.176.15:8012/rtp/239.3.1.184:8001
CCTV17,http://111.192.176.15:8012/rtp/239.3.1.151:8144
CCTV4美洲,http://111.192.176.15:8012/rtp/239.3.1.214:4220
CCTV4欧洲,http://111.192.176.15:8012/rtp/239.3.1.213:4220
CGTNالعربية,http://111.192.176.15:8012/rtp/239.3.1.219:4220
CGTNРусский,http://111.192.176.15:8012/rtp/239.3.1.220:4220
CGTNFrançais,http://111.192.176.15:8012/rtp/239.3.1.218:4220
CGTNDocumentary,http://111.192.176.15:8012/rtp/239.3.1.216:4220
CGTNEspañol,http://111.192.176.15:8012/rtp/239.3.1.217:4220
CGTNEnglish,http://111.192.176.15:8012/rtp/239.3.1.215:4220

北京联通141,#genre#
CCTV1,http://111.193.234.141:8888/rtp/239.3.1.129:8008
CCTV2,http://111.193.234.141:8888/rtp/239.3.1.60:8084
CCTV3,http://111.193.234.141:8888/rtp/239.3.1.172:8001
CCTV4,http://111.193.234.141:8888/rtp/239.3.1.105:8092
CCTV5,http://111.193.234.141:8888/rtp/239.3.1.173:8001
CCTV5+,http://111.193.234.141:8888/rtp/239.3.1.130:8004
CCTV6,http://111.193.234.141:8888/rtp/239.3.1.174:8001
CCTV7,http://111.193.234.141:8888/rtp/239.3.1.61:8104
CCTV8,http://111.193.234.141:8888/rtp/239.3.1.175:8001
CCTV9,http://111.193.234.141:8888/rtp/239.3.1.62:8112
CCTV10,http://111.193.234.141:8888/rtp/239.3.1.63:8116
CCTV11,http://111.193.234.141:8888/rtp/239.3.1.152:8120
CCTV12,http://111.193.234.141:8888/rtp/239.3.1.64:8124
CCTV13,http://111.193.234.141:8888/rtp/239.3.1.124:8128
CCTV14,http://111.193.234.141:8888/rtp/239.3.1.65:8132
CCTV15,http://111.193.234.141:8888/rtp/239.3.1.153:8136
CCTV16,http://111.193.234.141:8888/rtp/239.3.1.184:8001
CCTV17,http://111.193.234.141:8888/rtp/239.3.1.151:8144
CCTV4欧洲,http://111.193.234.141:8888/rtp/239.3.1.213:4220
CCTV4美洲,http://111.193.234.141:8888/rtp/239.3.1.214:4220
CGTNEnglish,http://111.193.234.141:8888/rtp/239.3.1.215:4220
CGTNDocumentary,http://111.193.234.141:8888/rtp/239.3.1.216:4220
CGTNEspañol,http://111.193.234.141:8888/rtp/239.3.1.217:4220
CGTNFrançais,http://111.193.234.141:8888/rtp/239.3.1.218:4220
CGTNالعربية,http://111.193.234.141:8888/rtp/239.3.1.219:4220
CGTNРусский,http://111.193.234.141:8888/rtp/239.3.1.220:4220

北京联通255,#genre#
CCTV1,http://123.120.109.255:4022/rtp/239.3.1.129:8008
CCTV2,http://123.120.109.255:4022/rtp/239.3.1.60:8084
CCTV3,http://123.120.109.255:4022/rtp/239.3.1.172:8001
CCTV4,http://123.120.109.255:4022/rtp/239.3.1.105:8092
CCTV5,http://123.120.109.255:4022/rtp/239.3.1.173:8001
CCTV5+,http://123.120.109.255:4022/rtp/239.3.1.130:8004
CCTV6,http://123.120.109.255:4022/rtp/239.3.1.174:8001
CCTV7,http://123.120.109.255:4022/rtp/239.3.1.61:8104
CCTV8,http://123.120.109.255:4022/rtp/239.3.1.175:8001
CCTV9,http://123.120.109.255:4022/rtp/239.3.1.62:8112
CCTV10,http://123.120.109.255:4022/rtp/239.3.1.63:8116
CCTV11,http://123.120.109.255:4022/rtp/239.3.1.152:8120
CCTV12,http://123.120.109.255:4022/rtp/239.3.1.64:8124
CCTV13,http://123.120.109.255:4022/rtp/239.3.1.124:8128
CCTV14,http://123.120.109.255:4022/rtp/239.3.1.65:8132
CCTV15,http://123.120.109.255:4022/rtp/239.3.1.153:8136
CCTV16,http://123.120.109.255:4022/rtp/239.3.1.184:8001
CCTV17,http://123.120.109.255:4022/rtp/239.3.1.151:8144
CCTV4欧洲,http://123.120.109.255:4022/rtp/239.3.1.213:4220
CCTV4美洲,http://123.120.109.255:4022/rtp/239.3.1.214:4220
CGTNEnglish,http://123.120.109.255:4022/rtp/239.3.1.215:4220
CGTNDocumentary,http://123.120.109.255:4022/rtp/239.3.1.216:4220
CGTNEspañol,http://123.120.109.255:4022/rtp/239.3.1.217:4220
CGTNFrançais,http://123.120.109.255:4022/rtp/239.3.1.218:4220
CGTNالعربية,http://123.120.109.255:4022/rtp/239.3.1.219:4220
CGTNРусский,http://123.120.109.255:4022/rtp/239.3.1.220:4220

北京联通sweetown,#genre#
CCTV1,http://sweetown.fun:4000/rtp/239.3.1.129:8008
CCTV2,http://sweetown.fun:4000/rtp/239.3.1.60:8084
CCTV3,http://sweetown.fun:4000/rtp/239.3.1.172:8001
CCTV4,http://sweetown.fun:4000/rtp/239.3.1.105:8092
CCTV5,http://sweetown.fun:4000/rtp/239.3.1.173:8001
CCTV5+,http://sweetown.fun:4000/rtp/239.3.1.130:8004
CCTV6,http://sweetown.fun:4000/rtp/239.3.1.174:8001
CCTV7,http://sweetown.fun:4000/rtp/239.3.1.61:8104
CCTV8,http://sweetown.fun:4000/rtp/239.3.1.175:8001
CCTV9,http://sweetown.fun:4000/rtp/239.3.1.62:8112
CCTV10,http://sweetown.fun:4000/rtp/239.3.1.63:8116
CCTV11,http://sweetown.fun:4000/rtp/239.3.1.152:8120
CCTV12,http://sweetown.fun:4000/rtp/239.3.1.64:8124
CCTV13,http://sweetown.fun:4000/rtp/239.3.1.124:8128
CCTV14,http://sweetown.fun:4000/rtp/239.3.1.65:8132
CCTV15,http://sweetown.fun:4000/rtp/239.3.1.153:8136
CCTV16,http://sweetown.fun:4000/rtp/239.3.1.184:8001
CCTV17,http://sweetown.fun:4000/rtp/239.3.1.151:8144
CCTV4欧洲,http://sweetown.fun:4000/rtp/239.3.1.213:4220
CCTV4美洲,http://sweetown.fun:4000/rtp/239.3.1.214:4220
CGTNEnglish,http://sweetown.fun:4000/rtp/239.3.1.215:4220
CGTNDocumentary,http://sweetown.fun:4000/rtp/239.3.1.216:4220
CGTNEspañol,http://sweetown.fun:4000/rtp/239.3.1.217:4220
CGTNFrançais,http://sweetown.fun:4000/rtp/239.3.1.218:4220
CGTNالعربية,http://sweetown.fun:4000/rtp/239.3.1.219:4220
CGTNРусский,http://sweetown.fun:4000/rtp/239.3.1.220:4220

北京联通zzmd,#genre#
CCTV1,http://cn.zzmd.fun:8888/rtp/239.3.1.129:8008
CCTV2,http://cn.zzmd.fun:8888/rtp/239.3.1.60:8084
CCTV3,http://cn.zzmd.fun:8888/rtp/239.3.1.172:8001
CCTV4,http://cn.zzmd.fun:8888/rtp/239.3.1.105:8092
CCTV5,http://cn.zzmd.fun:8888/rtp/239.3.1.173:8001
CCTV5+,http://cn.zzmd.fun:8888/rtp/239.3.1.130:8004
CCTV6,http://cn.zzmd.fun:8888/rtp/239.3.1.174:8001
CCTV7,http://cn.zzmd.fun:8888/rtp/239.3.1.61:8104
CCTV8,http://cn.zzmd.fun:8888/rtp/239.3.1.175:8001
CCTV9,http://cn.zzmd.fun:8888/rtp/239.3.1.62:8112
CCTV10,http://cn.zzmd.fun:8888/rtp/239.3.1.63:8116
CCTV11,http://cn.zzmd.fun:8888/rtp/239.3.1.152:8120
CCTV12,http://cn.zzmd.fun:8888/rtp/239.3.1.64:8124
CCTV13,http://cn.zzmd.fun:8888/rtp/239.3.1.124:8128
CCTV14,http://cn.zzmd.fun:8888/rtp/239.3.1.65:8132
CCTV15,http://cn.zzmd.fun:8888/rtp/239.3.1.153:8136
CCTV16,http://cn.zzmd.fun:8888/rtp/239.3.1.184:8001
CCTV17,http://cn.zzmd.fun:8888/rtp/239.3.1.151:8144
CCTV4欧洲,http://cn.zzmd.fun:8888/rtp/239.3.1.213:4220
CCTV4美洲,http://cn.zzmd.fun:8888/rtp/239.3.1.214:4220
CGTNEnglish,http://cn.zzmd.fun:8888/rtp/239.3.1.215:4220
CGTNDocumentary,http://cn.zzmd.fun:8888/rtp/239.3.1.216:4220
CGTNEspañol,http://cn.zzmd.fun:8888/rtp/239.3.1.217:4220
CGTNFrançais,http://cn.zzmd.fun:8888/rtp/239.3.1.218:4220
CGTNالعربية,http://cn.zzmd.fun:8888/rtp/239.3.1.219:4220
CGTNРусский,http://cn.zzmd.fun:8888/rtp/239.3.1.220:4220

甘肃电信38,#genre#
CCTV1,http://42.94.210.38:9000/udp/239.255.30.101:8231
CCTV1,http://42.94.210.38:9000/udp/239.255.30.201:8231
CCTV2,http://42.94.210.38:9000/udp/239.255.30.179:8231
CCTV3,http://42.94.210.38:9000/udp/239.255.29.12:8231
CCTV4,http://42.94.210.38:9000/udp/239.255.30.83:8231
CCTV5,http://42.94.210.38:9000/udp/239.255.29.13:8231
CCTV5+,http://42.94.210.38:9000/udp/239.255.30.184:8231
CCTV6,http://42.94.210.38:9000/udp/239.255.29.14:8231
CCTV7,http://42.94.210.38:9000/udp/239.255.30.178:8231
CCTV8,http://42.94.210.38:9000/udp/239.255.29.15:8231
CCTV9,http://42.94.210.38:9000/udp/239.255.30.180:8231
CCTV10,http://42.94.210.38:9000/udp/239.255.30.181:8231
CCTV11,http://42.94.210.38:9000/udp/239.255.30.62:8231
CCTV12,http://42.94.210.38:9000/udp/239.255.30.182:8231
CCTV13,http://42.94.210.38:9000/udp/239.255.29.28:8231
CCTV14,http://42.94.210.38:9000/udp/239.255.30.183:8231
CCTV15,http://42.94.210.38:9000/udp/239.255.30.68:8231
