北京电信226,#genre#
CETV1,http://1.203.76.226:7788/udp/225.1.8.32:8152
安徽卫视,http://1.203.76.226:7788/udp/225.1.8.52:8064
北京卫视,http://1.203.76.226:7788/udp/225.1.8.21:8002
东方卫视,http://1.203.76.226:7788/udp/225.1.8.45:8032
东南卫视,http://1.203.76.226:7788/udp/225.1.8.79:8148
广东卫视,http://1.203.76.226:7788/udp/225.1.8.49:8048
贵州卫视,http://1.203.76.226:7788/udp/225.1.8.77:8076
河北卫视,http://1.203.76.226:7788/udp/225.1.8.76:8002
河南卫视,http://1.203.76.226:7788/udp/225.1.8.40:8184
黑龙江卫视,http://1.203.76.226:7788/udp/225.1.8.42:8016
湖北卫视,http://1.203.76.226:7788/udp/225.1.8.47:8044
湖南卫视,http://1.203.76.226:7788/udp/225.1.8.41:8012
江苏卫视,http://1.203.76.226:7788/udp/225.1.8.44:8028
江西卫视,http://1.203.76.226:7788/udp/225.1.1.9:8164
江西卫视,http://1.203.76.226:7788/udp/225.1.8.171:8166
卡酷少儿,http://1.203.76.226:7788/udp/225.1.8.35:8000
辽宁卫视,http://1.203.76.226:7788/udp/225.1.8.51:8056
山东卫视,http://1.203.76.226:7788/udp/225.1.8.50:8052
深圳卫视,http://1.203.76.226:7788/udp/225.1.8.43:8020
天津卫视,http://1.203.76.226:7788/udp/225.1.8.48:8044
浙江卫视,http://1.203.76.226:7788/udp/225.1.8.46:8036
重庆卫视,http://1.203.76.226:7788/udp/225.1.8.172:8162

北京联通15,#genre#
CETV1,http://111.192.176.15:8012/rtp/239.3.1.57:8152
安徽卫视,http://111.192.176.15:8012/rtp/239.3.1.211:8064
北京卫视,http://111.192.176.15:8012/rtp/239.3.1.241:8000
东方卫视,http://111.192.176.15:8012/rtp/239.3.1.136:8032
东南卫视,http://111.192.176.15:8012/rtp/239.3.1.156:8148
广东卫视,http://111.192.176.15:8012/rtp/239.3.1.142:8048
贵州卫视,http://111.192.176.15:8012/rtp/239.3.1.149:8076
河北卫视,http://111.192.176.15:8012/rtp/239.3.1.148:8072
黑龙江卫视,http://111.192.176.15:8012/rtp/239.3.1.133:8016
湖北卫视,http://111.192.176.15:8012/rtp/239.3.1.138:8044
湖南卫视,http://111.192.176.15:8012/rtp/239.3.1.132:8012
吉林卫视,http://111.192.176.15:8012/rtp/239.3.1.240:8172
江苏卫视,http://111.192.176.15:8012/rtp/239.3.1.135:8028
江西卫视,http://111.192.176.15:8012/rtp/239.3.1.123:8164
卡酷少儿,http://111.192.176.15:8012/rtp/239.3.1.189:8000
辽宁卫视,http://111.192.176.15:8012/rtp/239.3.1.210:8056
山东卫视,http://111.192.176.15:8012/rtp/239.3.1.209:8052
深圳卫视,http://111.192.176.15:8012/rtp/239.3.1.134:8020
天津卫视,http://111.192.176.15:8012/rtp/239.3.1.141:1234
浙江卫视,http://111.192.176.15:8012/rtp/239.3.1.137:8036
重庆卫视,http://111.192.176.15:8012/rtp/239.3.1.122:8160

北京联通141,#genre#
CETV1,http://111.193.234.141:8888/rtp/239.3.1.57:8152
安徽卫视,http://111.193.234.141:8888/rtp/239.3.1.211:8064
北京卫视,http://111.193.234.141:8888/rtp/239.3.1.241:8000
东方卫视,http://111.193.234.141:8888/rtp/239.3.1.136:8032
东南卫视,http://111.193.234.141:8888/rtp/239.3.1.156:8148
广东卫视,http://111.193.234.141:8888/rtp/239.3.1.142:8048
贵州卫视,http://111.193.234.141:8888/rtp/239.3.1.149:8076
河北卫视,http://111.193.234.141:8888/rtp/239.3.1.148:8072
黑龙江卫视,http://111.193.234.141:8888/rtp/239.3.1.133:8016
湖北卫视,http://111.193.234.141:8888/rtp/239.3.1.138:8044
湖南卫视,http://111.193.234.141:8888/rtp/239.3.1.132:8012
吉林卫视,http://111.193.234.141:8888/rtp/239.3.1.240:8172
江苏卫视,http://111.193.234.141:8888/rtp/239.3.1.135:8028
江西卫视,http://111.193.234.141:8888/rtp/239.3.1.123:8164
卡酷少儿,http://111.193.234.141:8888/rtp/239.3.1.189:8000
辽宁卫视,http://111.193.234.141:8888/rtp/239.3.1.210:8056
山东卫视,http://111.193.234.141:8888/rtp/239.3.1.209:8052
深圳卫视,http://111.193.234.141:8888/rtp/239.3.1.134:8020
天津卫视,http://111.193.234.141:8888/rtp/239.3.1.141:1234
浙江卫视,http://111.193.234.141:8888/rtp/239.3.1.137:8036
重庆卫视,http://111.193.234.141:8888/rtp/239.3.1.122:8160

北京联通255,#genre#
CETV1,http://123.120.109.255:4022/rtp/239.3.1.57:8152
安徽卫视,http://123.120.109.255:4022/rtp/239.3.1.211:8064
北京卫视,http://123.120.109.255:4022/rtp/239.3.1.241:8000
东方卫视,http://123.120.109.255:4022/rtp/239.3.1.136:8032
东南卫视,http://123.120.109.255:4022/rtp/239.3.1.156:8148
广东卫视,http://123.120.109.255:4022/rtp/239.3.1.142:8048
贵州卫视,http://123.120.109.255:4022/rtp/239.3.1.149:8076
河北卫视,http://123.120.109.255:4022/rtp/239.3.1.148:8072
黑龙江卫视,http://123.120.109.255:4022/rtp/239.3.1.133:8016
湖北卫视,http://123.120.109.255:4022/rtp/239.3.1.138:8044
湖南卫视,http://123.120.109.255:4022/rtp/239.3.1.132:8012
吉林卫视,http://123.120.109.255:4022/rtp/239.3.1.240:8172
江苏卫视,http://123.120.109.255:4022/rtp/239.3.1.135:8028
江西卫视,http://123.120.109.255:4022/rtp/239.3.1.123:8164
卡酷少儿,http://123.120.109.255:4022/rtp/239.3.1.189:8000
辽宁卫视,http://123.120.109.255:4022/rtp/239.3.1.210:8056
山东卫视,http://123.120.109.255:4022/rtp/239.3.1.209:8052
深圳卫视,http://123.120.109.255:4022/rtp/239.3.1.134:8020
天津卫视,http://123.120.109.255:4022/rtp/239.3.1.141:1234
浙江卫视,http://123.120.109.255:4022/rtp/239.3.1.137:8036
重庆卫视,http://123.120.109.255:4022/rtp/239.3.1.122:8160

北京联通sweetown,#genre#
CETV1,http://sweetown.fun:4000/rtp/239.3.1.57:8152
安徽卫视,http://sweetown.fun:4000/rtp/239.3.1.211:8064
北京卫视,http://sweetown.fun:4000/rtp/239.3.1.241:8000
东方卫视,http://sweetown.fun:4000/rtp/239.3.1.136:8032
东南卫视,http://sweetown.fun:4000/rtp/239.3.1.156:8148
广东卫视,http://sweetown.fun:4000/rtp/239.3.1.142:8048
贵州卫视,http://sweetown.fun:4000/rtp/239.3.1.149:8076
河北卫视,http://sweetown.fun:4000/rtp/239.3.1.148:8072
黑龙江卫视,http://sweetown.fun:4000/rtp/239.3.1.133:8016
湖北卫视,http://sweetown.fun:4000/rtp/239.3.1.138:8044
湖南卫视,http://sweetown.fun:4000/rtp/239.3.1.132:8012
吉林卫视,http://sweetown.fun:4000/rtp/239.3.1.240:8172
江苏卫视,http://sweetown.fun:4000/rtp/239.3.1.135:8028
江西卫视,http://sweetown.fun:4000/rtp/239.3.1.123:8164
