HLJ-1a0b-4001,#genre#
安徽卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225925/index.m3u8
北京卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225678/index.m3u8
北京卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225931/index.m3u8
东方卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225672/index.m3u8
东方卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225942/index.m3u8
东南卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225950/index.m3u8
广东卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225966/index.m3u8
广西卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226091/index.m3u8
贵州卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225974/index.m3u8
海南卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225978/index.m3u8
河北卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225961/index.m3u8
河南卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225988/index.m3u8
黑龙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225985/index.m3u8
黑龙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226056/index.m3u8
黑龙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226060/index.m3u8
黑龙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226068/index.m3u8
黑龙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226099/index.m3u8
黑龙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226115/index.m3u8
黑龙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226117/index.m3u8
黑龙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226122/index.m3u8
湖北卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225569/index.m3u8
湖北卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225975/index.m3u8
湖南卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225506/index.m3u8
湖南卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225977/index.m3u8
吉林卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225981/index.m3u8
江苏卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225503/index.m3u8
江苏卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225938/index.m3u8
江西卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225935/index.m3u8
辽宁卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221226089/index.m3u8
山东卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225952/index.m3u8
深圳卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225668/index.m3u8
深圳卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225943/index.m3u8
四川卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225970/index.m3u8
天津卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225665/index.m3u8
天津卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225972/index.m3u8
浙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225959/index.m3u8
重庆卫视,http://[2409:8087:1a0b:df::4001]/PLTV/88888888/224/3221225963/index.m3u8

HLJ-1a01-7005,#genre#
安徽卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
