甘肃电信38,#genre#
Bestv华语电影,http://42.94.210.38:9000/udp/239.255.30.193:8231
Bestv全球大片,http://42.94.210.38:9000/udp/239.255.30.196:8231
Bestv看天下精选,http://42.94.210.38:9000/udp/239.255.30.217:8231
Bestv100,http://42.94.210.38:9000/udp/239.255.30.100:8231
BesTv116,http://42.94.210.38:9000/udp/239.255.30.116:8231
BesTv118,http://42.94.210.38:9000/udp/239.255.30.118:8231
BesTv128打牌,http://42.94.210.38:9000/udp/239.255.30.128:8231
Bestv150,http://42.94.210.38:9000/udp/239.255.30.150:8231
Bestv151,http://42.94.210.38:9000/udp/239.255.30.151:8231
Bestv160,http://42.94.210.38:9000/udp/239.255.30.160:8231
Bestv166,http://42.94.210.38:9000/udp/239.255.30.166:8231
Bestv167,http://42.94.210.38:9000/udp/239.255.30.167:8231
Bestv168,http://42.94.210.38:9000/udp/239.255.30.168:8231
BesTv169,http://42.94.210.38:9000/udp/239.255.30.169:8231
BesTv170,http://42.94.210.38:9000/udp/239.255.30.170:8231
BesTv171,http://42.94.210.38:9000/udp/239.255.30.171:8231
BesTv172,http://42.94.210.38:9000/udp/239.255.30.172:8231
BesTv173,http://42.94.210.38:9000/udp/239.255.30.173:8231
BesTv194,http://42.94.210.38:9000/udp/239.255.30.194:8231
Bestv197,http://42.94.210.38:9000/udp/239.255.30.197:8231
Bestv198,http://42.94.210.38:9000/udp/239.255.30.198:8231
BesTv199,http://42.94.210.38:9000/udp/239.255.30.199:8231
BesTv200,http://42.94.210.38:9000/udp/239.255.30.200:8231

广东电信jianghua,#genre#
BesTv116,http://gs.jianghua.fun:8888/udp/239.253.43.116:5146
BesTv117,http://gs.jianghua.fun:8888/udp/239.253.43.117:5146
BesTv118,http://gs.jianghua.fun:8888/udp/239.253.43.118:5146

吉林电信tuyuannet,#genre#
BesTv142,http://nas.tuyuannet.cn:8800/rtp/239.37.0.142:5540
BesTv162,http://nas.tuyuannet.cn:8800/rtp/239.37.0.162:5540
BesTv222,http://nas.tuyuannet.cn:8800/rtp/239.37.0.222:5540
BesTv237,http://nas.tuyuannet.cn:8800/rtp/239.37.0.237:5540
BesTv253-羽毛球,http://nas.tuyuannet.cn:8800/rtp/239.37.0.253:5540
BesTv254,http://nas.tuyuannet.cn:8800/rtp/239.37.0.254:5540

江西电信sunnyli,#genre#
BesTv111,http://iku.sunnyli.link:4144/udp/239.252.219.111:5140
BesTv112,http://iku.sunnyli.link:4144/udp/239.252.219.112:5140
BesTv117,http://iku.sunnyli.link:4144/udp/239.252.219.117:5140
BesTv135,http://iku.sunnyli.link:4144/udp/239.252.219.135:5140
BesTv136,http://iku.sunnyli.link:4144/udp/239.252.219.136:5140
BesTv203,http://iku.sunnyli.link:4144/udp/239.252.219.203:5140
BesTv204,http://iku.sunnyli.link:4144/udp/239.252.219.204:5140
BesTv53,http://iku.sunnyli.link:4144/udp/239.252.219.53:5140
BesTv91,http://iku.sunnyli.link:4144/udp/239.252.219.91:5140
BesTv84,http://iku.sunnyli.link:4144/udp/239.252.220.84:5140

陕西电信ssrs2004,#genre#
BesTv20,http://ssrs2004.win:8888/rtp/239.111.205.20:5140
BesTv21,http://ssrs2004.win:8888/rtp/239.111.205.21:5140
BesTv22,http://ssrs2004.win:8888/rtp/239.111.205.22:5140
BesTv23,http://ssrs2004.win:8888/rtp/239.111.205.23:5140
BesTv24,http://ssrs2004.win:8888/rtp/239.111.205.24:5140
BesTv25,http://ssrs2004.win:8888/rtp/239.111.205.25:5140
BesTv26,http://ssrs2004.win:8888/rtp/239.111.205.26:5140
BesTv43,http://ssrs2004.win:8888/rtp/239.111.205.43:5140
BesTv44,http://ssrs2004.win:8888/rtp/239.111.205.44:5140
BesTv45,http://ssrs2004.win:8888/rtp/239.111.205.45:5140

上海电信79,#genre#
BesTv-137-,http://101.83.74.79:8686/udp/239.45.3.137:5140
BesTv-138-,http://101.83.74.79:8686/udp/239.45.3.138:5140
BesTv-139-,http://101.83.74.79:8686/udp/239.45.3.139:5140
BesTv-140-,http://101.83.74.79:8686/udp/239.45.3.140:5140
BesTv-15-,http://101.83.74.79:8686/udp/239.45.1.15:5140
BesTv175,http://101.83.74.79:8686/udp/239.45.3.157:5140
BesTv215,http://101.83.74.79:8686/udp/239.45.3.215:5140
BesTv4K-10-,http://101.83.74.79:8686/udp/239.45.1.10:5140
BesTv4K-107-,http://101.83.74.79:8686/udp/239.45.3.107:5140
BesTv4K-108-测试,http://101.83.74.79:8686/udp/239.45.1.108:5140
BesTv4K-11-动画,http://101.83.74.79:8686/udp/239.45.1.11:5140
BesTv4K-1-动画,http://101.83.74.79:8686/udp/239.45.1.1:5140
BesTv4K-42-,http://101.83.74.79:8686/udp/239.45.1.42:5140
BesTv4K-9-电影,http://101.83.74.79:8686/udp/239.45.1.9:5140
BesTv53,http://101.83.74.79:8686/udp/239.45.3.53:5140
BesTv54,http://101.83.74.79:8686/udp/239.45.3.54:5140
BesTv55,http://101.83.74.79:8686/udp/239.45.3.55:5140

上海电信140,#genre#
BesTv-137-,http://58.37.82.140:56789/udp/239.45.3.137:5140
BesTv-138-,http://58.37.82.140:56789/udp/239.45.3.138:5140
BesTv-139-,http://58.37.82.140:56789/udp/239.45.3.139:5140
BesTv-140-,http://58.37.82.140:56789/udp/239.45.3.140:5140
BesTv-15-,http://58.37.82.140:56789/udp/239.45.1.15:5140
BesTv175,http://58.37.82.140:56789/udp/239.45.3.157:5140
BesTv215,http://58.37.82.140:56789/udp/239.45.3.215:5140
BesTv4K-10-,http://58.37.82.140:56789/udp/239.45.1.10:5140
BesTv4K-107-,http://58.37.82.140:56789/udp/239.45.3.107:5140
BesTv4K-108-测试,http://58.37.82.140:56789/udp/239.45.1.108:5140
BesTv4K-11-动画,http://58.37.82.140:56789/udp/239.45.1.11:5140
BesTv4K-1-动画,http://58.37.82.140:56789/udp/239.45.1.1:5140
BesTv4K-42-,http://58.37.82.140:56789/udp/239.45.1.42:5140
BesTv4K-9-电影,http://58.37.82.140:56789/udp/239.45.1.9:5140
BesTv53,http://58.37.82.140:56789/udp/239.45.3.53:5140
BesTv54,http://58.37.82.140:56789/udp/239.45.3.54:5140
BesTv55,http://58.37.82.140:56789/udp/239.45.3.55:5140

浙江电信myds,#genre#
BesTv-201,http://guany.myds.me:25852/rtp/233.50.201.201:5140
BesTv-207,http://guany.myds.me:25852/rtp/233.50.201.207:5140
